EID	Peak_group	Elements	Proportion of elements
E062	Typical peaks	promoter-TSS	7.48032604686428
E062	Typical peaks	TTS	0.836045233839929
E034	Peaks in long LOCKs	3' UTR	1.03591850378468
E034	Peaks in long LOCKs	5' UTR	0.269621875747267
E034	Peaks in long LOCKs	exon	2.63604277611976
E034	Peaks in long LOCKs	Intergenic	50.718661501605
E034	Peaks in long LOCKs	intron	39.1757685946428
E034	Peaks in long LOCKs	non-coding	0.979863250125742
E034	Peaks in long LOCKs	promoter-TSS	3.6111243862167
E034	Peaks in long LOCKs	TTS	1.57299911175811
E034	Peaks in short LOCKs	3' UTR	1.21807089639399
E034	Peaks in short LOCKs	5' UTR	0.746870319192412
E034	Peaks in short LOCKs	exon	3.97819980790559
E034	Peaks in short LOCKs	Intergenic	49.8947815801283
E034	Peaks in short LOCKs	intron	33.2599323290106
E034	Peaks in short LOCKs	non-coding	1.18140084152024
E034	Peaks in short LOCKs	promoter-TSS	7.7436372616144
E034	Peaks in short LOCKs	TTS	1.97710696423443
E034	Typical peaks	3' UTR	0.397413394244958
E034	Typical peaks	5' UTR	0.527291697116397
E034	Typical peaks	exon	2.07137551218767
E034	Typical peaks	Intergenic	58.2717792636073
E034	Typical peaks	intron	33.7213293182263
E034	Typical peaks	non-coding	0.648136713383035
E034	Typical peaks	promoter-TSS	3.72800729218623
E034	Typical peaks	TTS	0.634666809048165
E045	Peaks in long LOCKs	3' UTR	1.30856179241367
E045	Peaks in long LOCKs	5' UTR	0.608643020724295
E045	Peaks in long LOCKs	exon	2.46937583658225
E045	Peaks in long LOCKs	Intergenic	47.3704275261773
E045	Peaks in long LOCKs	intron	37.9324548401715
E045	Peaks in long LOCKs	non-coding	1.18294808599367
E045	Peaks in long LOCKs	promoter-TSS	6.99586847320932
E045	Peaks in long LOCKs	TTS	2.13172042472794
E045	Peaks in short LOCKs	3' UTR	1.8650737506371
E045	Peaks in short LOCKs	5' UTR	1.40503785121685
E045	Peaks in short LOCKs	exon	3.37665071705086
E045	Peaks in short LOCKs	Intergenic	38.1149224650935
E045	Peaks in short LOCKs	intron	37.4770514745866
E045	Peaks in short LOCKs	non-coding	1.79139129856692
E045	Peaks in short LOCKs	promoter-TSS	13.633512262226
E045	Peaks in short LOCKs	TTS	2.33636018062215
E045	Typical peaks	3' UTR	0.486277520466965
E045	Typical peaks	5' UTR	0.619963090940782
E045	Typical peaks	exon	1.80799838206864
E045	Typical peaks	Intergenic	55.363721880792
E045	Typical peaks	intron	35.2308878531408
E045	Typical peaks	non-coding	0.633235184152788
E045	Typical peaks	promoter-TSS	4.97377514213447
E045	Typical peaks	TTS	0.884140946303572
E033	Peaks in long LOCKs	3' UTR	1.7392128329738
E033	Peaks in long LOCKs	5' UTR	0.530207204841937
E033	Peaks in long LOCKs	exon	2.41483551593694
E033	Peaks in long LOCKs	Intergenic	45.9623997488208
E033	Peaks in long LOCKs	intron	36.9650645421007
E033	Peaks in long LOCKs	non-coding	1.6315333785737
E033	Peaks in long LOCKs	promoter-TSS	7.79968252882531
E033	Peaks in long LOCKs	TTS	2.95706424792683
E033	Peaks in short LOCKs	3' UTR	1.63070780651286
E033	Peaks in short LOCKs	5' UTR	1.21856185042322
E033	Peaks in short LOCKs	exon	3.48853680404732
E033	Peaks in short LOCKs	Intergenic	33.5985341665367
E033	Peaks in short LOCKs	intron	41.7365912907881
E033	Peaks in short LOCKs	non-coding	1.60357456513993
E033	Peaks in short LOCKs	promoter-TSS	14.3451452047383
E033	Peaks in short LOCKs	TTS	2.37834831181361
E033	Typical peaks	3' UTR	0.681847203583191
E033	Typical peaks	5' UTR	0.636069476134143
E033	Typical peaks	exon	1.69907649458257
E033	Typical peaks	Intergenic	44.7347180694328
E033	Typical peaks	intron	41.035636756142
E033	Typical peaks	non-coding	0.833516042684117
E033	Typical peaks	promoter-TSS	9.43840365836323
E033	Typical peaks	TTS	0.94073229907794
E044	Peaks in long LOCKs	3' UTR	1.31774932230582
E044	Peaks in long LOCKs	5' UTR	0.467084756302003
E044	Peaks in long LOCKs	exon	2.02611653768805
E044	Peaks in long LOCKs	Intergenic	50.221064952722
E044	Peaks in long LOCKs	intron	37.1777582821985
E044	Peaks in long LOCKs	non-coding	1.04049641682642
E044	Peaks in long LOCKs	promoter-TSS	5.91345665267392
E044	Peaks in long LOCKs	TTS	1.83627307928321
E044	Peaks in short LOCKs	3' UTR	1.09533342362647
E044	Peaks in short LOCKs	5' UTR	1.28978797413178
E044	Peaks in short LOCKs	exon	2.91713829469376
E044	Peaks in short LOCKs	Intergenic	41.5163409670293
E044	Peaks in short LOCKs	intron	36.8697477109025
E044	Peaks in short LOCKs	non-coding	1.26517071931798
E044	Peaks in short LOCKs	promoter-TSS	13.1518867980082
E044	Peaks in short LOCKs	TTS	1.89459411229001
E044	Typical peaks	3' UTR	0.430580229442052
E044	Typical peaks	5' UTR	0.549679976114751
E044	Typical peaks	exon	1.03518466990723
E044	Typical peaks	Intergenic	60.9287893799159
E044	Typical peaks	intron	32.6985579244502
E044	Typical peaks	non-coding	0.471973105151327
E044	Typical peaks	promoter-TSS	3.1295335810134
E044	Typical peaks	TTS	0.755701134005172
E043	Peaks in long LOCKs	3' UTR	1.05982272072856
E043	Peaks in long LOCKs	5' UTR	0.361124104719073
E043	Peaks in long LOCKs	exon	1.54559383866765
E043	Peaks in long LOCKs	Intergenic	51.2190168437024
E043	Peaks in long LOCKs	intron	38.429392295433
E043	Peaks in long LOCKs	non-coding	0.983725696403636
E043	Peaks in long LOCKs	promoter-TSS	4.70671854773587
E043	Peaks in long LOCKs	TTS	1.69460595260982
E043	Peaks in short LOCKs	3' UTR	1.32642190414747
E043	Peaks in short LOCKs	5' UTR	0.934272851179008
E043	Peaks in short LOCKs	exon	2.55257979321737
E043	Peaks in short LOCKs	Intergenic	43.3052022175166
E043	Peaks in short LOCKs	intron	38.5455010202572
E043	Peaks in short LOCKs	non-coding	1.01382315016558
E043	Peaks in short LOCKs	promoter-TSS	10.2450389938715
E043	Peaks in short LOCKs	TTS	2.07716006964536
E043	Typical peaks	3' UTR	0.578604243334667
E043	Typical peaks	5' UTR	0.183975868576014
E043	Typical peaks	exon	1.26202908628143
E043	Typical peaks	Intergenic	61.1118855353586
E043	Typical peaks	intron	32.3226003599159
E043	Typical peaks	non-coding	0.607330827478686
E043	Typical peaks	promoter-TSS	2.9130286948783
E043	Typical peaks	TTS	1.02054538417638
E039	Peaks in long LOCKs	3' UTR	1.2272125128046
E039	Peaks in long LOCKs	5' UTR	0.30100178616475
E039	Peaks in long LOCKs	exon	1.75006504681999
E039	Peaks in long LOCKs	Intergenic	49.3263250460622
E039	Peaks in long LOCKs	intron	38.7390559955345
E039	Peaks in long LOCKs	non-coding	1.00909812857797
E039	Peaks in long LOCKs	promoter-TSS	5.62035014328317
E039	Peaks in long LOCKs	TTS	2.02689134075279
E039	Peaks in short LOCKs	3' UTR	1.386010984668
E039	Peaks in short LOCKs	5' UTR	1.21959527535336
E039	Peaks in short LOCKs	exon	2.5667212083381
E039	Peaks in short LOCKs	Intergenic	39.4595244573637
E039	Peaks in short LOCKs	intron	39.515215238508
E039	Peaks in short LOCKs	non-coding	1.26656513461615
E039	Peaks in short LOCKs	promoter-TSS	12.2593384657498
E039	Peaks in short LOCKs	TTS	2.32702923540292
E039	Typical peaks	3' UTR	0.48869270167034
E039	Typical peaks	5' UTR	0.237508560320651
E039	Typical peaks	exon	1.19982291518035
E039	Typical peaks	Intergenic	58.9082630163099
E039	Typical peaks	intron	34.4564287964477
E039	Typical peaks	non-coding	0.570467094354183
E039	Typical peaks	promoter-TSS	3.28960519783717
E039	Typical peaks	TTS	0.849211717879741
E041	Peaks in long LOCKs	3' UTR	1.01965674903143
E041	Peaks in long LOCKs	5' UTR	0.417630805019035
E041	Peaks in long LOCKs	exon	1.89051311806617
E041	Peaks in long LOCKs	Intergenic	51.65959283411
E041	Peaks in long LOCKs	intron	37.7309713341067
E041	Peaks in long LOCKs	non-coding	0.95577189230995
E041	Peaks in long LOCKs	promoter-TSS	4.64669710714528
E041	Peaks in long LOCKs	TTS	1.67916616021148
E041	Peaks in short LOCKs	3' UTR	1.27464846203321
E041	Peaks in short LOCKs	5' UTR	1.18491973083219
E041	Peaks in short LOCKs	exon	2.85652973391575
E041	Peaks in short LOCKs	Intergenic	42.9895917735964
E041	Peaks in short LOCKs	intron	37.8366499939074
E041	Peaks in short LOCKs	non-coding	1.29753771492125
E041	Peaks in short LOCKs	promoter-TSS	10.2373996501346
E041	Peaks in short LOCKs	TTS	2.32272294065923
E041	Typical peaks	3' UTR	0.549818955979861
E041	Typical peaks	5' UTR	0.300469033111108
E041	Typical peaks	exon	1.24154492405791
E041	Typical peaks	Intergenic	58.3246645067956
E041	Typical peaks	intron	33.8377960535323
E041	Typical peaks	non-coding	0.54950214874507
E041	Typical peaks	promoter-TSS	4.21032289219661
E041	Typical peaks	TTS	0.985881485581537
E042	Peaks in long LOCKs	3' UTR	1.23782578402057
E042	Peaks in long LOCKs	5' UTR	0.331168814009407
E042	Peaks in long LOCKs	exon	1.53210124894831
E042	Peaks in long LOCKs	Intergenic	50.4339700112327
E042	Peaks in long LOCKs	intron	38.3578367275159
E042	Peaks in long LOCKs	non-coding	1.05006418185743
E042	Peaks in long LOCKs	promoter-TSS	4.98865357511837
E042	Peaks in long LOCKs	TTS	2.06837965729728
E042	Peaks in short LOCKs	3' UTR	1.46625753720103
E042	Peaks in short LOCKs	5' UTR	0.782885930860622
E042	Peaks in short LOCKs	exon	1.77629110324944
E042	Peaks in short LOCKs	Intergenic	44.1450410175528
E042	Peaks in short LOCKs	intron	38.8073614722172
E042	Peaks in short LOCKs	non-coding	1.02863011473791
E042	Peaks in short LOCKs	promoter-TSS	10.0924674048584
E042	Peaks in short LOCKs	TTS	1.90106541932262
E042	Typical peaks	3' UTR	0.641014097437391
E042	Typical peaks	5' UTR	0.359100659410503
E042	Typical peaks	exon	1.17532198123284
E042	Typical peaks	Intergenic	58.8522902818605
E042	Typical peaks	intron	33.8303893788124
E042	Typical peaks	non-coding	0.557930139561982
E042	Typical peaks	promoter-TSS	3.73475278726729
E042	Typical peaks	TTS	0.849200674417168
E040	Peaks in long LOCKs	3' UTR	1.36431149492211
E040	Peaks in long LOCKs	5' UTR	0.560363075905566
E040	Peaks in long LOCKs	exon	1.9185242840692
E040	Peaks in long LOCKs	Intergenic	47.8804633013546
E040	Peaks in long LOCKs	intron	38.1011783276911
E040	Peaks in long LOCKs	non-coding	1.04635866324656
E040	Peaks in long LOCKs	promoter-TSS	6.84536678578313
E040	Peaks in long LOCKs	TTS	2.28343406702771
E040	Peaks in short LOCKs	3' UTR	2.48050799376652
E040	Peaks in short LOCKs	5' UTR	0.949102347794705
E040	Peaks in short LOCKs	exon	2.63085307309306
E040	Peaks in short LOCKs	Intergenic	42.0644142570575
E040	Peaks in short LOCKs	intron	38.3054156436512
E040	Peaks in short LOCKs	non-coding	1.75516834437075
E040	Peaks in short LOCKs	promoter-TSS	9.58223805642338
E040	Peaks in short LOCKs	TTS	2.23230028384292
E040	Typical peaks	3' UTR	0.615523946035179
