Peak_group	Number_of_peaks	EID
Peaks in short LOCKs	840	E116
Typical peaks	2663	E116
Peaks in long LOCKs	140107	E119
Peaks in short LOCKs	12757	E119
Typical peaks	14827	E119
Peaks in long LOCKs	100514	E120
Peaks in short LOCKs	12916	E120
Typical peaks	11841	E120
Peaks in long LOCKs	289763	E121
Peaks in short LOCKs	32332	E121
Typical peaks	23349	E121
Peaks in long LOCKs	138943	E122
Peaks in short LOCKs	23472	E122
Typical peaks	11374	E122
Peaks in long LOCKs	105216	E124
Peaks in short LOCKs	18299	E124
Typical peaks	16465	E124
Peaks in long LOCKs	141627	E125
Peaks in short LOCKs	29495	E125
Typical peaks	25100	E125
Peaks in long LOCKs	51083	E126
Peaks in short LOCKs	10856	E126
Typical peaks	6506	E126
Peaks in long LOCKs	163516	E127
Peaks in short LOCKs	28227	E127
Typical peaks	26646	E127
Peaks in long LOCKs	97977	E128
Peaks in short LOCKs	17288	E128
Typical peaks	12883	E128
Peaks in long LOCKs	213726	E129
Peaks in short LOCKs	43379	E129
Typical peaks	26049	E129
