EID	LOCK_length	TSG_OG_anno	exp	gene_number	gene_number_with_exp	group	MD_anno
E084	non-LOCK	TSG	0.193958978019187	112	109	TSG__outside_of_LOCK	commonPMD
E085	LOCK	OG	-0.274088367704952	141	141	OG__Long_LOCK	commonPMD
E085	LOCK	TSG	-0.171984935776023	57	57	TSG__Long_LOCK	commonPMD
E085	non-LOCK	OG	-0.193141970481183	261	261	OG__outside_of_LOCK	commonPMD
E085	non-LOCK	TSG	-0.099086932262331	110	107	TSG__outside_of_LOCK	commonPMD
E087	LOCK	OG	-0.515700160653214	125	125	OG__Long_LOCK	commonPMD
E087	LOCK	TSG	-0.408935392973501	50	49	TSG__Long_LOCK	commonPMD
E087	non-LOCK	OG	0.253095585849032	277	277	OG__outside_of_LOCK	commonPMD
E087	non-LOCK	TSG	0.152626229720381	118	116	TSG__outside_of_LOCK	commonPMD
E094	LOCK	OG	-0.497572880015567	333	333	OG__Long_LOCK	commonPMD
E094	LOCK	TSG	-0.283996656365201	136	135	TSG__Long_LOCK	commonPMD
E094	non-LOCK	OG	-0.298613183138655	78	78	OG__outside_of_LOCK	commonPMD
E094	non-LOCK	TSG	-0.265878042673902	32	30	TSG__outside_of_LOCK	commonPMD
E095	LOCK	OG	-0.855428582033833	174	174	OG__Long_LOCK	commonPMD
E095	LOCK	TSG	-0.84163750790475	66	65	TSG__Long_LOCK	commonPMD
E095	non-LOCK	OG	-0.18588321093802	230	230	OG__outside_of_LOCK	commonPMD
E095	non-LOCK	TSG	-0.128735624374624	100	98	TSG__outside_of_LOCK	commonPMD
E096	LOCK	OG	-0.555024371359006	132	132	OG__Long_LOCK	commonPMD
E096	LOCK	TSG	-0.229147988357856	49	49	TSG__Long_LOCK	commonPMD
E096	non-LOCK	OG	-0.293709252689661	274	274	OG__outside_of_LOCK	commonPMD
E096	non-LOCK	TSG	-0.382999658879101	118	115	TSG__outside_of_LOCK	commonPMD
E097	LOCK	OG	-0.578396073130169	181	181	OG__Long_LOCK	commonPMD
E097	LOCK	TSG	-0.581698708680255	81	81	TSG__Long_LOCK	commonPMD
E097	non-LOCK	OG	-0.0798195887146121	226	226	OG__outside_of_LOCK	commonPMD
E097	non-LOCK	TSG	0.101272492080544	89	86	TSG__outside_of_LOCK	commonPMD
E098	LOCK	OG	-0.35261702988538	323	323	OG__Long_LOCK	commonPMD
E098	LOCK	TSG	-0.315154638355588	137	135	TSG__Long_LOCK	commonPMD
E098	non-LOCK	OG	-0.178486471595227	85	85	OG__outside_of_LOCK	commonPMD
E098	non-LOCK	TSG	-0.551874718769181	33	32	TSG__outside_of_LOCK	commonPMD
E100	LOCK	OG	-0.84163750790475	146	146	OG__Long_LOCK	commonPMD
E100	LOCK	TSG	-0.717951161053513	60	60	TSG__Long_LOCK	commonPMD
E100	non-LOCK	OG	-0.67370762698667	260	260	OG__outside_of_LOCK	commonPMD
E100	non-LOCK	TSG	-0.684029654543082	108	105	TSG__outside_of_LOCK	commonPMD
E104	LOCK	OG	-0.615045605041004	148	148	OG__Long_LOCK	commonPMD
E104	LOCK	TSG	-0.552841968657781	60	59	TSG__Long_LOCK	commonPMD
E104	non-LOCK	OG	-0.0486624812040823	263	263	OG__outside_of_LOCK	commonPMD
E104	non-LOCK	TSG	-0.035927071933008	110	108	TSG__outside_of_LOCK	commonPMD
E105	LOCK	OG	-0.903089986991944	89	89	OG__Long_LOCK	commonPMD
E105	LOCK	TSG	-0.583359492661719	37	37	TSG__Long_LOCK	commonPMD
E105	non-LOCK	OG	-0.39040559077478	315	315	OG__outside_of_LOCK	commonPMD
E105	non-LOCK	TSG	-0.436518914605589	130	127	TSG__outside_of_LOCK	commonPMD
E106	LOCK	OG	-0.437787016737114	196	196	OG__Long_LOCK	commonPMD
E106	LOCK	TSG	-0.158647743319792	85	84	TSG__Long_LOCK	commonPMD
E106	non-LOCK	OG	-0.302046884880938	208	208	OG__outside_of_LOCK	commonPMD
E106	non-LOCK	TSG	-0.457851308965721	82	80	TSG__outside_of_LOCK	commonPMD
E109	LOCK	OG	-0.320158131381824	166	166	OG__Long_LOCK	commonPMD
E109	LOCK	TSG	-0.155182216386466	69	68	TSG__Long_LOCK	commonPMD
E109	non-LOCK	OG	-0.178824136234748	236	236	OG__outside_of_LOCK	commonPMD
E109	non-LOCK	TSG	-0.163676345724012	98	96	TSG__outside_of_LOCK	commonPMD
E112	LOCK	OG	0.00474924355341183	68	68	OG__Long_LOCK	commonPMD
E112	LOCK	TSG	-0.15613298946372	34	34	TSG__Long_LOCK	commonPMD
E112	non-LOCK	OG	-0.324221658325915	339	339	OG__outside_of_LOCK	commonPMD
E112	non-LOCK	TSG	-0.294134604828119	135	132	TSG__outside_of_LOCK	commonPMD
E113	LOCK	OG	-0.539102157243452	151	151	OG__Long_LOCK	commonPMD
E113	LOCK	TSG	-0.459596597832819	64	64	TSG__Long_LOCK	commonPMD
E113	non-LOCK	OG	-0.488116639021126	257	257	OG__outside_of_LOCK	commonPMD
E113	non-LOCK	TSG	-0.496243461939648	105	102	TSG__outside_of_LOCK	commonPMD
E116	LOCK	OG	-0.943095148663527	119	119	OG__Long_LOCK	commonPMD
E116	LOCK	TSG	-0.930060456799382	58	58	TSG__Long_LOCK	commonPMD
E116	non-LOCK	OG	-0.94692155651658	291	291	OG__outside_of_LOCK	commonPMD
E116	non-LOCK	TSG	-0.899629454882437	110	107	TSG__outside_of_LOCK	commonPMD
E119	LOCK	OG	-0.980888680815641	220	220	OG__Long_LOCK	commonPMD
E119	LOCK	TSG	-0.94692155651658	92	91	TSG__Long_LOCK	commonPMD
E119	non-LOCK	OG	-0.962573502059376	187	187	OG__outside_of_LOCK	commonPMD
E119	non-LOCK	TSG	-0.962573502059376	72	70	TSG__outside_of_LOCK	commonPMD
E120	LOCK	OG	-0.920818753952375	141	141	OG__Long_LOCK	commonPMD
E120	LOCK	TSG	-0.847711655616944	67	67	TSG__Long_LOCK	commonPMD
E120	non-LOCK	OG	-0.869678146632487	268	268	OG__outside_of_LOCK	commonPMD
E120	non-LOCK	TSG	-0.716722334558473	101	98	TSG__outside_of_LOCK	commonPMD
E122	LOCK	OG	-0.978810700930062	134	134	OG__Long_LOCK	commonPMD
E122	LOCK	TSG	-0.980888680815641	68	66	TSG__Long_LOCK	commonPMD
E122	non-LOCK	OG	-0.962573502059376	273	273	OG__outside_of_LOCK	commonPMD
E122	non-LOCK	TSG	-0.911867528942927	99	98	TSG__outside_of_LOCK	commonPMD
E127	LOCK	OG	-0.962573502059376	125	125	OG__Long_LOCK	commonPMD
E127	LOCK	TSG	-0.742321425130815	55	55	TSG__Long_LOCK	commonPMD
E127	non-LOCK	OG	-0.924453038607469	277	277	OG__outside_of_LOCK	commonPMD
E127	non-LOCK	TSG	-0.928117992693875	112	109	TSG__outside_of_LOCK	commonPMD
E128	LOCK	OG	-0.935542010773082	78	78	OG__Long_LOCK	commonPMD
E128	LOCK	TSG	-0.76110666854538	45	44	TSG__Long_LOCK	commonPMD
E128	non-LOCK	OG	-0.752026733638193	329	329	OG__outside_of_LOCK	commonPMD
E128	non-LOCK	TSG	-0.717844545019699	120	118	TSG__outside_of_LOCK	commonPMD
