group	size_bp	percent	EID
H3K27me3 only	22898520	0.848093333333333	E100
both	553958	0.020516962962963	E100
H3K9me3 only	29796547	1.10357581481481	E100
H3K27me3 only	61588898	2.2810702962963	E108
both	783126	0.0290046666666667	E108
H3K9me3 only	21801598	0.807466592592593	E108
H3K27me3 only	74555983	2.7613327037037	E107
both	1505919	0.0557747777777778	E107
H3K9me3 only	22679151	0.839968555555555	E107
H3K27me3 only	82222731	3.04528633333333	E089
both	683423	0.025311962962963	E089
H3K9me3 only	26817961	0.993257814814815	E089
H3K27me3 only	89539390	3.3162737037037	E090
both	1171620	0.0433933333333333	E090
H3K9me3 only	42125919	1.56021922222222	E090
H3K27me3 only	29448737	1.09069396296296	E083
both	410880	0.0152177777777778	E083
H3K9me3 only	11842446	0.438609111111111	E083
H3K27me3 only	3929822	0.145548962962963	E104
both	75724	0.00280459259259259	E104
H3K9me3 only	10529625	0.389986111111111	E104
H3K27me3 only	31740231	1.17556411111111	E095
both	3751075	0.138928703703704	E095
H3K9me3 only	34815364	1.28945792592593	E095
H3K27me3 only	38855818	1.43910437037037	E105
both	525116	0.0194487407407407	E105
H3K9me3 only	13880042	0.51407562962963	E105
H3K27me3 only	19134022	0.708667481481482	E065
both	2634425	0.0975712962962963	E065
H3K9me3 only	20213659	0.748654037037037	E065
H3K27me3 only	54973066	2.03603948148148	E078
both	1121331	0.0415307777777778	E078
H3K9me3 only	53559525	1.98368611111111	E078
H3K27me3 only	34537005	1.27914833333333	E076
both	699349	0.0259018148148148	E076
H3K9me3 only	20362513	0.754167148148148	E076
H3K27me3 only	29945549	1.10909440740741	E103
both	871379	0.0322732962962963	E103
H3K9me3 only	17137623	0.634726777777778	E103
H3K27me3 only	40295559	1.49242811111111	E111
both	512797	0.0189924814814815	E111
H3K9me3 only	14111038	0.522631037037037	E111
H3K27me3 only	102201876	3.78525466666667	E092
both	10483111	0.38826337037037	E092
H3K9me3 only	70895860	2.62577259259259	E092
H3K27me3 only	70537802	2.61251118518519	E085
both	3200527	0.118538037037037	E085
H3K9me3 only	85723814	3.17495607407407	E085
H3K27me3 only	72181086	2.67337355555556	E084
both	5034828	0.186475111111111	E084
H3K9me3 only	66136272	2.44949155555556	E084
H3K27me3 only	40947596	1.51657762962963	E109
both	1157941	0.0428867037037037	E109
H3K9me3 only	19146480	0.709128888888889	E109
H3K27me3 only	32973393	1.22123677777778	E106
both	1875572	0.0694656296296296	E106
H3K9me3 only	34079363	1.26219862962963	E106
H3K27me3 only	40886804	1.51432607407407	E075
both	1829371	0.0677544814814815	E075
H3K9me3 only	28451204	1.0537482962963	E075
H3K27me3 only	38765305	1.43575203703704	E101
both	355928	0.0131825185185185	E101
H3K9me3 only	23435794	0.86799237037037	E101
H3K27me3 only	34979879	1.29555107407407	E102
both	312969	0.0115914444444444	E102
H3K9me3 only	31183493	1.15494418518519	E102
H3K27me3 only	59958018	2.22066733333333	E110
both	457300	0.016937037037037	E110
H3K9me3 only	9718625	0.359949074074074	E110
H3K27me3 only	47052433	1.7426827037037	E077
both	384495	0.0142405555555556	E077
H3K9me3 only	56671029	2.098927	E077
H3K27me3 only	17305957	0.64096137037037	E079
both	2683154	0.0993760740740741	E079
H3K9me3 only	50023928	1.85273807407407	E079
H3K27me3 only	7772120	0.287856296296296	E094
both	567121	0.0210044814814815	E094
H3K9me3 only	29227541	1.08250151851852	E094
H3K27me3 only	19207415	0.711385740740741	E099
both	68845	0.00254981481481481	E099
H3K9me3 only	12390138	0.458894	E099
H3K27me3 only	16687525	0.618056481481482	E086
both	110251	0.00408337037037037	E086
H3K9me3 only	3245504	0.120203851851852	E086
H3K27me3 only	66045865	2.44614314814815	E088
both	384281	0.0142326296296296	E088
H3K9me3 only	36491413	1.35153381481481	E088
