EID	MD_anno	TSG_OG_anno	OgOrTsgToAllGenes
E112	S	OG	0.039766081871345
E112	S	TSG	0.0222222222222222
E113	S	OG	0.0500963391136802
E113	S	TSG	0.0221579961464355
E116	S	OG	0.0504540867810293
E116	S	TSG	0.029263370332997
E119	S	OG	0.0526315789473684
E119	S	TSG	0.0228070175438597
E120	S	OG	0.0500472143531634
E120	S	TSG	0.028328611898017
E122	S	OG	0.0545634920634921
E122	S	TSG	0.0337301587301587
E127	S	OG	0.0491958372753075
E127	S	TSG	0.0274361400189215
E128	S	OG	0.0468431771894094
E128	S	TSG	0.0295315682281059
E004	I	OG	0.072108843537415
E004	I	TSG	0.0244897959183673
E005	I	OG	0.0716374269005848
E005	I	TSG	0.0263157894736842
E006	I	OG	0.0716981132075472
E006	I	TSG	0.0339622641509434
E007	I	OG	0.065180102915952
E007	I	TSG	0.0222984562607204
E011	I	OG	0.072
E011	I	TSG	0.0208
E012	I	OG	0.0888888888888889
E012	I	TSG	0.0349206349206349
E013	I	OG	0.0780559646539028
E013	I	TSG	0.0220913107511046
E027	I	OG	0.064128256513026
E027	I	TSG	0.0200400801603206
E028	I	OG	0.0631768953068592
E028	I	TSG	0.0126353790613718
E037	I	OG	0.0662650602409639
E037	I	TSG	0.0289156626506024
E038	I	OG	0.0751565762004175
E038	I	TSG	0.0302713987473904
E047	I	OG	0.0795454545454545
E047	I	TSG	0.0237603305785124
E050	I	OG	0.0658362989323843
E050	I	TSG	0.0266903914590747
E053	I	OG	0.0706713780918728
E053	I	TSG	0.0318021201413428
E054	I	OG	0.0578034682080925
E054	I	TSG	0.0260115606936416
E055	I	OG	0.0833333333333333
E055	I	TSG	0.0266666666666667
E056	I	OG	0.0647773279352227
E056	I	TSG	0.0323886639676113
E057	I	OG	0.0631578947368421
E057	I	TSG	0.0210526315789474
E058	I	OG	0.0761245674740484
E058	I	TSG	0.0190311418685121
E059	I	OG	0.0580110497237569
E059	I	TSG	0.0248618784530387
E061	I	OG	0.0618311533888228
E061	I	TSG	0.0237812128418549
