EID	group	MD_anno	gene_density
E096	Long LOCKs	common HMDs	19.6269879200453
E113	Long LOCKs	common PMDs	8.29478677277734
E113	Long LOCKs	common HMDs	20.0770459355768
E116	Long LOCKs	common PMDs	9.58094293875101
E116	Long LOCKs	common HMDs	17.3127829735875
E119	Long LOCKs	common PMDs	6.25944883011463
E119	Long LOCKs	common HMDs	15.0586987951163
E120	Long LOCKs	common PMDs	8.59189553242651
E120	Long LOCKs	common HMDs	16.6094976791818
E121	Long LOCKs	common PMDs	6.36916935379201
E121	Long LOCKs	common HMDs	12.4895127729312
E122	Long LOCKs	common PMDs	8.54001402377159
E122	Long LOCKs	common HMDs	14.7697192975758
E124	Long LOCKs	common PMDs	9.57020529219565
E124	Long LOCKs	common HMDs	17.3008211905083
E125	Long LOCKs	common PMDs	9.24903383695958
E125	Long LOCKs	common HMDs	17.1319016440542
E126	Long LOCKs	common PMDs	10.0085460302662
E126	Long LOCKs	common HMDs	17.7911386227831
E127	Long LOCKs	common PMDs	8.81266699500738
E127	Long LOCKs	common HMDs	18.0066121740001
E128	Long LOCKs	common PMDs	11.2159090401337
E128	Long LOCKs	common HMDs	18.3594954765816
E129	Long LOCKs	common PMDs	8.21083837205335
E129	Long LOCKs	common HMDs	13.3572167452879
