sample	group	H1_DMVs	ME_DMVs	NPC_DMVs	TBL_DMVs	MSC_DMVs	LINE	LTR	SINE
E052	Peaks in long LOCKs	NA	NA	NA	NA	NA	31.1510182604786	NA	50
E081	Peaks in long LOCKs	NA	NA	NA	NA	NA	29.322936785499	9.40189370466802	50
E012	Peaks in long LOCKs	NA	NA	NA	NA	NA	28.2950335395291	1.51682255762278	50
E078	Peaks in long LOCKs	NA	NA	NA	NA	NA	27.8301561889243	3.56710099955142	50
E112	Peaks in long LOCKs	NA	NA	NA	NA	NA	25.1739142775451	5.51345045773888	50
E056	Peaks in long LOCKs	NA	NA	NA	NA	NA	24.851962252371	NA	50
E053	Peaks in long LOCKs	NA	NA	NA	NA	NA	23.5282156964512	NA	50
E091	Peaks in long LOCKs	NA	NA	NA	NA	NA	20.5284646365273	NA	50
E011	Peaks in long LOCKs	NA	NA	NA	NA	NA	20.483564134613	NA	50
E127	Peaks in long LOCKs	NA	NA	NA	NA	NA	19.801353917243	NA	50
E058	Peaks in long LOCKs	NA	NA	NA	NA	NA	15.2052872025073	NA	50
E023	Peaks in long LOCKs	NA	NA	NA	NA	NA	14.2192393652541	NA	50
E101	Peaks in long LOCKs	4.81099761582479	1.32129167348282	3.58773773251965	3.41346243027159	2.96865852885979	12.5723788048832	NA	50
E108	Peaks in long LOCKs	NA	NA	NA	NA	NA	12.2925792668131	NA	50
E110	Peaks in long LOCKs	NA	NA	NA	NA	NA	10.2908874627713	NA	50
E006	Peaks in long LOCKs	NA	NA	NA	NA	NA	10.0329223021191	NA	50
E009	Peaks in long LOCKs	NA	NA	NA	NA	NA	8.63120643382377	NA	50
E111	Peaks in long LOCKs	NA	NA	NA	NA	NA	7.96743086328764	NA	50
E076	Peaks in long LOCKs	NA	NA	NA	NA	NA	6.82497504113057	NA	50
E077	Peaks in long LOCKs	NA	NA	NA	NA	NA	6.67693543636782	NA	50
E036	Peaks in long LOCKs	NA	NA	NA	NA	NA	6.55918253685941	NA	50
E010	Peaks in long LOCKs	NA	NA	NA	NA	NA	5.63380013522815	NA	50
E102	Peaks in long LOCKs	NA	NA	NA	NA	NA	5.12258201251942	NA	50
E004	Peaks in long LOCKs	45.1045824584091	50	50	50	42.4028193967504	2.30616464563409	NA	50
E067	Peaks in long LOCKs	20.5253612021786	17.4262876739252	18.9934331269896	17.3741552552392	14.2358045209614	NA	NA	50
E072	Peaks in long LOCKs	5.80438096925352	2.62145103591881	2.80556572280487	1.78395900389454	1.85275423760457	NA	NA	50
E073	Peaks in long LOCKs	11.5678413736444	8.61809744736553	10.8029791966346	6.93550786676386	9.71536032249241	NA	NA	50
E013	Peaks in long LOCKs	NA	5.02603751382634	5.75457142737321	5.13418726763807	3.58616401164235	NA	NA	50
E027	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	50
E059	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	50
E063	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	50
E069	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	50
E071	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	50
E124	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	10.4085166341061	49.4314716711129
E088	Peaks in long LOCKs	NA	NA	NA	NA	NA	27.6999707297091	8.06752689202713	48.1375773308588
E103	Peaks in long LOCKs	21.3691494708879	36.3150729308267	31.2434376770581	30.1636543167458	40.4723965163865	NA	NA	48.1144588165333
E062	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	48.0869368809589
E085	Peaks in long LOCKs	NA	NA	NA	NA	NA	10.4868351554102	NA	46.9628349345389
E099	Peaks in long LOCKs	NA	NA	NA	NA	NA	15.6844333474737	NA	46.8394570421161
E054	Peaks in long LOCKs	NA	NA	NA	NA	NA	1.97317714784066	NA	45.8761362801866
E120	Peaks in long LOCKs	NA	NA	NA	NA	NA	8.37425568476188	NA	43.8694591655044
E080	Peaks in long LOCKs	NA	NA	NA	NA	NA	28.4522421763777	NA	40.8014562984933
E083	Peaks in long LOCKs	11.9057654550399	6.57049159932687	8.69569751908075	6.39159320782291	7.30654861592991	10.7979722423419	6.0259088928795	40.7017388713025
E028	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	40.6267667194779
E029	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	14.7073518803923	40.0869341259532
E032	Peaks in long LOCKs	NA	NA	NA	NA	NA	6.29995639079837	NA	37.8304144343663
E075	Peaks in long LOCKs	NA	NA	NA	NA	NA	NA	NA	36.7802194600788
E119	Peaks in long LOCKs	NA	NA	NA	NA	NA	6.23103042119376	NA	35.4230474322625
E126	Peaks in long LOCKs	NA	NA	NA	NA	NA	18.913314039882	NA	35.1998317918836
E074	Peaks in long LOCKs	50	50	50	50	50	NA	NA	32.6395078380923
E005	Peaks in long LOCKs	41.4348924285939	50	50	50	38.5961813042547	NA	NA	30.17605009177
E105	Peaks in long LOCKs	18.7582293180031	12.996889254488	13.0894818019189	10.4058112580569	22.0916657491059	NA	NA	29.5282797110035
E044	Peaks in long LOCKs	NA	NA	NA	NA	NA	37.6702967546815	1.81871811755486	25.8967514944162
E050	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	15.143629058831	25.1358697806117
E095	Peaks in long LOCKs	50	50	50	50	50	NA	NA	21.0866940603944
E068	Peaks in long LOCKs	50	50	50	50	50	NA	NA	19.6642081841398
E086	Peaks in long LOCKs	2.67833503923002	4.27812029426969	3.64109334158589	5.85788652558513	4.65736951830602	12.6614847568379	6.79922008612653	17.6516384239006
E048	Peaks in long LOCKs	12.7391392840409	20.5833136743605	14.595808787728	15.6530090041166	10.5339056497974	NA	NA	17.2562191307437
E033	Peaks in long LOCKs	12.8573019104586	11.8448864371988	17.2439103916303	11.3386708188699	13.765559996822	20.2955464125559	4.18513702557117	17.2111680374678
E096	Peaks in long LOCKs	37.0532844396077	40.7303713043617	37.7759304780533	38.0644278321907	50	NA	NA	15.4839377306569
E042	Peaks in long LOCKs	NA	NA	NA	NA	NA	5.31340149588857	NA	13.2131329269138
E097	Peaks in long LOCKs	50	50	50	50	50	NA	NA	12.9446327739094
E116	Peaks in long LOCKs	2.70238979935409	2.40082395530004	NA	2.01177435158736	NA	3.66640318302677	NA	12.7200591813767
E087	Peaks in long LOCKs	33.771239529583	45.0883284833027	43.0426292473241	34.8935231730049	34.3461284451451	NA	NA	11.6341556852633
E092	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	11.2574184956324
E046	Peaks in long LOCKs	NA	NA	NA	NA	NA	28.8550108910886	3.48241638887988	9.87513531499396
E051	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	16.6995840030323	9.33401100357603
E007	Peaks in long LOCKs	50	50	50	50	50	NA	NA	8.80634479274683
E066	Peaks in long LOCKs	21.9400637746601	11.7023275936109	9.61513788412934	8.32824740441011	15.3797120600712	NA	NA	8.58679124053396
E079	Peaks in long LOCKs	50	50	50	50	50	NA	NA	7.72866286925521
E045	Peaks in long LOCKs	5.64669862243914	3.02993721979706	3.66813070195455	2.75405720133391	2.19755570879662	NA	NA	7.27195042045721
E122	Peaks in long LOCKs	NA	NA	NA	NA	NA	46.5891943726566	1.70292071046412	7.14299130079316
E035	Peaks in long LOCKs	3.53198313333467	1.72500461822318	2.97638450254652	1.37950130373191	1.90832029796843	31.9057113778203	5.14966013521513	7.04191621209081
E039	Peaks in long LOCKs	2.13996804533327	NA	NA	NA	NA	4.29327486916685	NA	6.92255167877674
E109	Peaks in long LOCKs	30.3705650842232	25.3966213993161	26.8574917742736	22.8162691786961	26.1163966930114	NA	NA	5.69832344615021
E040	Peaks in long LOCKs	NA	NA	NA	NA	NA	16.6662824368512	NA	4.8595588259095
E089	Peaks in long LOCKs	NA	NA	NA	NA	NA	39.8787885806968	NA	3.90404153235954
E113	Peaks in long LOCKs	50	50	50	50	50	NA	NA	3.62696888506863
E106	Peaks in long LOCKs	50	50	50	50	50	NA	NA	3.58902700851889
E038	Peaks in long LOCKs	17.9520643377148	10.1869831825142	13.2727338474302	10.571683481115	11.0473097622358	NA	NA	2.40786409136501
E100	Peaks in long LOCKs	50	50	50	50	50	NA	NA	2.2325606461497
E037	Peaks in long LOCKs	13.6702371600764	22.0542293031545	17.7273433882244	17.3178922454813	11.2996010847237	NA	NA	1.83442868570212
E104	Peaks in long LOCKs	14.9380185766972	19.8937096263086	17.0821198402874	16.3466396835679	14.837543563493	NA	NA	1.67606854688836
E121	Peaks in long LOCKs	NA	NA	NA	NA	NA	17.347395505322	NA	1.590141627381
E090	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	NA
E043	Peaks in long LOCKs	NA	NA	NA	NA	NA	21.9197371746008	1.89837924676958	NA
E041	Peaks in long LOCKs	NA	NA	NA	NA	NA	18.3205648261934	7.31232525278259	NA
E047	Peaks in long LOCKs	13.7438158073488	2.88059179316539	3.59366512212694	3.61710384852363	1.42185801672899	12.0377244704787	NA	NA
E031	Peaks in long LOCKs	6.39675848231031	5.90430478083041	6.21495101275931	3.79470684205315	2.81663361413647	NA	NA	NA
E065	Peaks in long LOCKs	29.7465861934977	21.1604042659494	20.5693934623026	18.1252211342731	15.2180519350756	NA	NA	NA
E094	Peaks in long LOCKs	13.4785332114088	15.3966801286385	14.0470784905674	14.2740086055949	15.7837022067897	NA	NA	NA
E098	Peaks in long LOCKs	1.42816059683164	1.96419852718488	1.57853691622157	1.42816059683164	2.56009394776679	NA	NA	NA
E005	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E006	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E010	Peaks in short LOCKs	50	50	50	50	50	NA	NA	14.0800247951883
E013	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E017	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E023	Peaks in short LOCKs	50	50	50	50	50	NA	NA	3.8912283493487
E025	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E026	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E027	Peaks in short LOCKs	50	50	50	50	50	NA	NA	29.8857795753338
E028	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E029	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E030	Peaks in short LOCKs	50	50	50	50	50	NA	NA	4.79710041682673
E032	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E034	Peaks in short LOCKs	50	50	50	50	50	NA	NA	50
E036	Peaks in short LOCKs	50	50	50	50	50	NA	NA	3.28201540907819
E040	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E041	Peaks in short LOCKs	50	50	50	50	50	NA	NA	29.5629660841459
E042	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E043	Peaks in short LOCKs	50	50	50	50	50	NA	NA	14.2687357958723
E044	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E045	Peaks in short LOCKs	50	50	50	50	50	NA	NA	1.81258054137706
E046	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E049	Peaks in short LOCKs	50	50	50	50	50	NA	NA	2.78288597080634
E051	Peaks in short LOCKs	50	50	50	50	50	NA	NA	50
E052	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E053	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E054	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E055	Peaks in short LOCKs	50	50	50	50	50	NA	45.1307421939399	NA
E056	Peaks in short LOCKs	50	50	50	50	50	NA	2.77091245951675	NA
E057	Peaks in short LOCKs	50	50	50	50	50	NA	NA	1.37293206226541
E058	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E059	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E061	Peaks in short LOCKs	50	50	50	50	50	NA	NA	22.9932745901406
E062	Peaks in short LOCKs	50	50	50	50	50	NA	NA	9.66051904147885
E063	Peaks in short LOCKs	50	50	50	50	50	NA	NA	2.34653773480422
E069	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E070	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E071	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E072	Peaks in short LOCKs	50	50	50	50	50	NA	NA	3.12839111461483
E073	Peaks in short LOCKs	50	50	50	50	50	NA	NA	2.22764385576987
E075	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E076	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E077	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E078	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E080	Peaks in short LOCKs	50	50	50	50	50	NA	NA	13.3167781673647
E081	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E082	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E084	Peaks in short LOCKs	50	50	50	50	50	NA	NA	15.2060663692387
E085	Peaks in short LOCKs	50	50	50	50	50	NA	NA	13.0509548283068
E087	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E089	Peaks in short LOCKs	50	50	50	50	50	NA	NA	33.5510398290441
E090	Peaks in short LOCKs	50	50	50	50	50	NA	NA	50
E091	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E092	Peaks in short LOCKs	50	50	50	50	50	NA	NA	50
E093	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E099	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E101	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E102	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E103	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E105	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E107	Peaks in short LOCKs	50	50	50	50	50	NA	NA	10.3572607886709
E108	Peaks in short LOCKs	50	50	50	50	50	NA	NA	9.16788030602408
E109	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E110	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E111	Peaks in short LOCKs	50	50	50	50	50	NA	NA	4.91696255559705
E112	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E113	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E116	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E120	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E121	Peaks in short LOCKs	50	50	50	50	50	NA	NA	47.0426949811577
E122	Peaks in short LOCKs	50	50	50	50	50	NA	NA	5.33152419731439
E125	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E126	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E127	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E128	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E129	Peaks in short LOCKs	50	50	50	50	50	NA	NA	NA
E050	Peaks in short LOCKs	49.3622034666263	50	50	50	50	NA	NA	45.5838559295976
E009	Peaks in short LOCKs	46.6267075083087	50	50	48.4024038076459	44.8232037884233	NA	2.56385417035407	NA
E119	Peaks in short LOCKs	45.34344533309	50	50	50	50	NA	NA	NA
E106	Peaks in short LOCKs	41.0394628035583	50	50	50	50	NA	NA	NA
E096	Peaks in short LOCKs	38.788084092747	50	50	50	38.9231779237523	NA	NA	NA
E037	Peaks in short LOCKs	35.0043434354212	36.1117641960729	39.1308946747535	37.3067057812515	35.6756399219959	NA	NA	NA
E088	Peaks in short LOCKs	33.8470770527728	50	50	50	42.8006494589945	NA	NA	5.5739624977931
E048	Peaks in short LOCKs	32.6442299914457	35.5319388590423	37.3461908212825	37.1348608839809	31.5192632761351	NA	NA	NA
E039	Peaks in short LOCKs	30.7442509879314	50	50	50	50	NA	NA	5.62379808823649
E066	Peaks in short LOCKs	29.7005273005146	50	50	50	47.1433601544929	NA	NA	NA
E012	Peaks in short LOCKs	28.5912741713549	29.6890901352398	32.027945454314	27.2500815153054	23.3311453822835	NA	5.32635457047703	NA
E095	Peaks in short LOCKs	28.1575261536824	50	50	50	47.429133669158	NA	NA	7.30341276744914
E038	Peaks in short LOCKs	26.84616243487	49.6814215670588	40.8163958136656	46.542775114674	33.7904264917697	NA	NA	1.50268434868028
E083	Peaks in short LOCKs	26.7644561960081	50	49.9921493410227	50	47.2302662708685	NA	NA	3.17861417668391
E067	Peaks in short LOCKs	26.7127046802046	50	45.7152259628767	45.2933050756514	44.1098694630171	NA	NA	2.56657042987997
E035	Peaks in short LOCKs	25.2357413863699	48.7681918524706	37.5378729471238	43.5625053959744	35.2938306348784	NA	NA	NA
E124	Peaks in short LOCKs	25.1690896186684	34.2566253581574	32.291328226541	28.9426232271216	20.4438228477754	NA	NA	NA
E100	Peaks in short LOCKs	24.4231112863198	50	50	50	50	NA	NA	NA
E086	Peaks in short LOCKs	23.8468203054164	33.341207207914	31.6202525230268	24.3983086371186	21.3654820001267	NA	NA	NA
E047	Peaks in short LOCKs	14.770914507152	50	50	48.7906672867891	50	NA	NA	17.8216211649789
E068	Peaks in short LOCKs	13.7250158098725	27.7902327094563	28.8672128865612	29.8229717899061	19.8311115219352	NA	NA	NA
E011	Peaks in short LOCKs	13.501330911054	18.2381361993197	16.1738347354862	16.5198851174991	15.0856680345056	NA	3.9788655109796	NA
E031	Peaks in short LOCKs	12.4392260707242	18.3696943424671	13.7172397667335	18.3696943424671	12.7933598179746	NA	NA	NA
E004	Peaks in short LOCKs	10.0471843197246	22.4448160681816	17.1394986997164	16.3938769145729	15.7082520890085	NA	NA	NA
E033	Peaks in short LOCKs	7.00091565150577	15.0205185871881	8.43435607835317	12.5458839846018	7.98688698115816	NA	NA	NA
E079	Peaks in short LOCKs	6.56792808427428	25.1607968414191	22.6615745880135	20.2516970225528	17.8523107719761	NA	NA	NA
E007	Peaks in short LOCKs	5.47166522007037	12.6616133781797	9.2634933625057	10.2557011448264	9.28474279569478	NA	NA	NA
E074	Peaks in short LOCKs	5.4634645900627	29.3072140918516	28.6832001480567	31.8805224396051	18.7598304053537	NA	NA	1.40151442103456
E065	Peaks in short LOCKs	NA	NA	NA	NA	NA	NA	NA	17.6805498538824
E097	Peaks in short LOCKs	NA	NA	NA	NA	NA	NA	NA	7.5138819935372
