percent	EID	group	facet
92.5925925925926	E056	poised promoters	Within short LOCKs
83.993783993784	E059	poised promoters	Within short LOCKs
90.3348554033486	E061	poised promoters	Within short LOCKs
88.8594164456233	E057	poised promoters	Within short LOCKs
92.1270718232044	E058	poised promoters	Within short LOCKs
48.6766398158803	E028	poised promoters	Within short LOCKs
78.0465949820789	E027	poised promoters	Within short LOCKs
94.3758573388203	E054	poised promoters	Within short LOCKs
88.1672597864769	E053	poised promoters	Within short LOCKs
81.4254859611231	E112	poised promoters	Within short LOCKs
75.5181347150259	E093	poised promoters	Within short LOCKs
93.8931297709924	E071	poised promoters	Within short LOCKs
81.5634218289086	E074	poised promoters	Within short LOCKs
88.9140271493213	E068	poised promoters	Within short LOCKs
91.3811007268951	E069	poised promoters	Within short LOCKs
90.4330312185297	E072	poised promoters	Within short LOCKs
84.8973607038123	E067	poised promoters	Within short LOCKs
89.7666068222621	E073	poised promoters	Within short LOCKs
96.4040190375463	E070	poised promoters	Within short LOCKs
94.883997620464	E082	poised promoters	Within short LOCKs
28.9073305670816	E081	poised promoters	Within short LOCKs
84.6639862148191	E063	poised promoters	Within short LOCKs
88.877755511022	E100	poised promoters	Within short LOCKs
88.5556068297185	E108	poised promoters	Within short LOCKs
83.4063047285464	E107	poised promoters	Within short LOCKs
84.5882870981946	E089	poised promoters	Within short LOCKs
87.2137404580153	E090	poised promoters	Within short LOCKs
46.8129571577847	E083	poised promoters	Within short LOCKs
79.1666666666667	E104	poised promoters	Within short LOCKs
66.2576687116564	E095	poised promoters	Within short LOCKs
91.8681318681319	E105	poised promoters	Within short LOCKs
58.695652173913	E065	poised promoters	Within short LOCKs
94.0535183349851	E078	poised promoters	Within short LOCKs
81.1944091486658	E076	poised promoters	Within short LOCKs
92.442322991249	E103	poised promoters	Within short LOCKs
87.7655677655678	E111	poised promoters	Within short LOCKs
91.1371237458194	E092	poised promoters	Within short LOCKs
89.2984542211653	E085	poised promoters	Within short LOCKs
89.2938496583143	E084	poised promoters	Within short LOCKs
68.2170542635659	E109	poised promoters	Within short LOCKs
62.6041666666667	E106	poised promoters	Within short LOCKs
95.1709169831796	E075	poised promoters	Within short LOCKs
87.2712808273668	E101	poised promoters	Within short LOCKs
88.9071487263763	E102	poised promoters	Within short LOCKs
63.905325443787	E110	poised promoters	Within short LOCKs
90.7539118065434	E077	poised promoters	Within short LOCKs
88.3156297420334	E079	poised promoters	Within short LOCKs
70.5882352941177	E094	poised promoters	Within short LOCKs
67.3624288425047	E099	poised promoters	Within short LOCKs
58.2005623242737	E086	poised promoters	Within short LOCKs
71.1304347826087	E088	poised promoters	Within short LOCKs
70.6563706563707	E097	poised promoters	Within short LOCKs
59.9462365591398	E087	poised promoters	Within short LOCKs
86.8861929520508	E080	poised promoters	Within short LOCKs
63.2400780741705	E091	poised promoters	Within short LOCKs
56.1076604554865	E066	poised promoters	Within short LOCKs
55.5555555555556	E098	poised promoters	Within short LOCKs
68.3206106870229	E096	poised promoters	Within short LOCKs
76.2645914396887	E113	poised promoters	Within short LOCKs
53.3980582524272	E116	poised promoters	Within short LOCKs
65.2597402597403	E119	poised promoters	Within short LOCKs
81.508078994614	E120	poised promoters	Within short LOCKs
60.2739726027397	E121	poised promoters	Within short LOCKs
56.9803516028956	E122	poised promoters	Within short LOCKs
75.3224419604471	E124	poised promoters	Within short LOCKs
80.5317324185249	E125	poised promoters	Within short LOCKs
45.4833597464342	E126	poised promoters	Within short LOCKs
81.3046937151949	E127	poised promoters	Within short LOCKs
59.9564744287269	E128	poised promoters	Within short LOCKs
71.6573258606885	E129	poised promoters	Within short LOCKs
