group	number	EID	percent	facet
Overlapping with ESC poised promoters	360	E044	51.2820512820513	Within short LOCKs
Overlapping with ESC poised promoters	466	E043	55.4761904761905	Within short LOCKs
Overlapping with ESC poised promoters	359	E039	56.984126984127	Within short LOCKs
Overlapping with ESC poised promoters	365	E041	55.895865237366	Within short LOCKs
Overlapping with ESC poised promoters	234	E042	57.7777777777778	Within short LOCKs
Overlapping with ESC poised promoters	82	E040	56.551724137931	Within short LOCKs
Overlapping with ESC poised promoters	40	E037	58.8235294117647	Within short LOCKs
Overlapping with ESC poised promoters	47	E048	60.2564102564103	Within short LOCKs
Overlapping with ESC poised promoters	37	E038	59.6774193548387	Within short LOCKs
Overlapping with ESC poised promoters	223	E047	57.4742268041237	Within short LOCKs
Overlapping with ESC poised promoters	264	E029	60.2739726027397	Within short LOCKs
Overlapping with ESC poised promoters	33	E031	68.75	Within short LOCKs
Overlapping with ESC poised promoters	487	E035	70.4775687409551	Within short LOCKs
Overlapping with ESC poised promoters	1298	E051	62.4038461538462	Within short LOCKs
Overlapping with ESC poised promoters	1190	E050	62.0114643043252	Within short LOCKs
Overlapping with ESC poised promoters	774	E036	64.2323651452282	Within short LOCKs
Overlapping with ESC poised promoters	236	E032	53.2731376975169	Within short LOCKs
Overlapping with ESC poised promoters	281	E046	56.6532258064516	Within short LOCKs
Overlapping with ESC poised promoters	565	E030	49.0877497827976	Within short LOCKs
Overlapping with ESC poised promoters	357	E026	65.625	Within short LOCKs
Overlapping with ESC poised promoters	423	E049	66.1971830985916	Within short LOCKs
Overlapping with ESC poised promoters	682	E025	66.9283611383709	Within short LOCKs
Overlapping with ESC poised promoters	431	E023	66.6151468315301	Within short LOCKs
Overlapping with ESC poised promoters	461	E052	64.9295774647887	Within short LOCKs
Overlapping with ESC poised promoters	687	E055	61.5591397849462	Within short LOCKs
Overlapping with ESC poised promoters	826	E056	61.1851851851852	Within short LOCKs
Overlapping with ESC poised promoters	798	E059	73.8205365402405	Within short LOCKs
Overlapping with ESC poised promoters	695	E061	58.5509688289806	Within short LOCKs
Overlapping with ESC poised promoters	455	E057	67.910447761194	Within short LOCKs
Overlapping with ESC poised promoters	742	E058	55.6221889055472	Within short LOCKs
Overlapping with ESC poised promoters	279	E028	65.9574468085106	Within short LOCKs
Overlapping with ESC poised promoters	606	E027	69.5752009184845	Within short LOCKs
Overlapping with ESC poised promoters	521	E054	75.7267441860465	Within short LOCKs
Overlapping with ESC poised promoters	683	E053	68.920282542886	Within short LOCKs
Overlapping with ESC poised promoters	264	E112	70.026525198939	Within short LOCKs
Overlapping with ESC poised promoters	348	E093	59.6912521440823	Within short LOCKs
Overlapping with ESC poised promoters	821	E071	66.7479674796748	Within short LOCKs
Overlapping with ESC poised promoters	382	E074	69.0777576853526	Within short LOCKs
Overlapping with ESC poised promoters	287	E068	73.027989821883	Within short LOCKs
Overlapping with ESC poised promoters	622	E069	70.6818181818182	Within short LOCKs
Overlapping with ESC poised promoters	599	E072	66.7037861915368	Within short LOCKs
Overlapping with ESC poised promoters	388	E067	67.0120898100173	Within short LOCKs
Overlapping with ESC poised promoters	695	E073	69.5	Within short LOCKs
Overlapping with ESC poised promoters	1026	E070	56.2808557323094	Within short LOCKs
Overlapping with ESC poised promoters	1068	E082	66.9592476489028	Within short LOCKs
Overlapping with ESC poised promoters	276	E081	66.0287081339713	Within short LOCKs
Overlapping with ESC poised promoters	1005	E063	68.1818181818182	Within short LOCKs
Overlapping with ESC poised promoters	586	E100	66.065388951522	Within short LOCKs
Overlapping with ESC poised promoters	1212	E108	63.1578947368421	Within short LOCKs
Overlapping with ESC poised promoters	1218	E107	63.9370078740157	Within short LOCKs
Overlapping with ESC poised promoters	1204	E089	62.6756897449245	Within short LOCKs
Overlapping with ESC poised promoters	1396	E090	61.0940919037199	Within short LOCKs
Overlapping with ESC poised promoters	329	E083	73.4375	Within short LOCKs
Overlapping with ESC poised promoters	14	E104	73.6842105263158	Within short LOCKs
Overlapping with ESC poised promoters	366	E095	67.7777777777778	Within short LOCKs
Overlapping with ESC poised promoters	627	E105	75	Within short LOCKs
Overlapping with ESC poised promoters	56	E065	51.8518518518518	Within short LOCKs
Overlapping with ESC poised promoters	1234	E078	65.0158061116965	Within short LOCKs
Overlapping with ESC poised promoters	470	E076	73.5524256651017	Within short LOCKs
Overlapping with ESC poised promoters	782	E103	67.2977624784854	Within short LOCKs
Overlapping with ESC poised promoters	826	E111	68.9482470784641	Within short LOCKs
Overlapping with ESC poised promoters	1259	E092	57.7522935779817	Within short LOCKs
Overlapping with ESC poised promoters	905	E085	60.2529960053262	Within short LOCKs
Overlapping with ESC poised promoters	977	E084	62.3086734693878	Within short LOCKs
Overlapping with ESC poised promoters	521	E109	65.7828282828283	Within short LOCKs
Overlapping with ESC poised promoters	391	E106	65.0582362728785	Within short LOCKs
Overlapping with ESC poised promoters	1164	E075	66.3625997719498	Within short LOCKs
Overlapping with ESC poised promoters	715	E101	65.1777575205105	Within short LOCKs
Overlapping with ESC poised promoters	717	E102	66.2661737523105	Within short LOCKs
Overlapping with ESC poised promoters	678	E110	62.7777777777778	Within short LOCKs
Overlapping with ESC poised promoters	846	E077	66.3009404388715	Within short LOCKs
Overlapping with ESC poised promoters	412	E079	70.7903780068729	Within short LOCKs
Overlapping with ESC poised promoters	15	E094	62.5	Within short LOCKs
Overlapping with ESC poised promoters	563	E099	79.2957746478873	Within short LOCKs
Overlapping with ESC poised promoters	459	E086	73.9130434782609	Within short LOCKs
Overlapping with ESC poised promoters	812	E088	66.1776691116545	Within short LOCKs
Overlapping with ESC poised promoters	141	E097	77.0491803278689	Within short LOCKs
Overlapping with ESC poised promoters	161	E087	72.1973094170404	Within short LOCKs
Overlapping with ESC poised promoters	958	E080	63.6968085106383	Within short LOCKs
Overlapping with ESC poised promoters	685	E091	70.4732510288066	Within short LOCKs
Overlapping with ESC poised promoters	194	E066	71.5867158671587	Within short LOCKs
Overlapping with ESC poised promoters	2	E098	40	Within short LOCKs
Overlapping with ESC poised promoters	275	E096	76.8156424581006	Within short LOCKs
Overlapping with ESC poised promoters	290	E113	73.9795918367347	Within short LOCKs
Overlapping with ESC poised promoters	48	E116	87.2727272727273	Within short LOCKs
Overlapping with ESC poised promoters	281	E119	69.9004975124378	Within short LOCKs
Overlapping with ESC poised promoters	306	E120	67.4008810572687	Within short LOCKs
Overlapping with ESC poised promoters	288	E121	65.4545454545455	Within short LOCKs
Overlapping with ESC poised promoters	375	E122	68.0580762250454	Within short LOCKs
Overlapping with ESC poised promoters	490	E124	55.9360730593607	Within short LOCKs
Overlapping with ESC poised promoters	676	E125	71.9914802981896	Within short LOCKs
Overlapping with ESC poised promoters	208	E126	72.4738675958188	Within short LOCKs
Overlapping with ESC poised promoters	670	E127	65.5577299412916	Within short LOCKs
Overlapping with ESC poised promoters	400	E128	72.5952813067151	Within short LOCKs
Overlapping with ESC poised promoters	559	E129	62.4581005586592	Within short LOCKs
