gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
LINC01568	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PSMD7-DT	Tumor-gain LOCKs	common PMDs	-0.625466024429111	NE2_KYSE510.T	KYSE510	-0.625466024429111
CNTNAP4	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02125	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MIR4719	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SYCE1L	Tumor-gain LOCKs	common PMDs	0.44075521251832	NE2_KYSE510.T	KYSE510	0.44075521251832
ADAMTS18	Tumor-gain LOCKs	common PMDs	-0.998556990449795	NE2_KYSE510.T	KYSE510	-0.998556990449795
LINC02131	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
NUDT7	Tumor-gain LOCKs	common PMDs	-0.954985984341299	NE2_KYSE510.T	KYSE510	-0.954985984341299
VAT1L	Tumor-gain LOCKs	common PMDs	-0.995025667882825	NE2_KYSE510.T	KYSE510	-0.995025667882825
CLEC3A	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MAF	Tumor-loss LOCKs	common PMDs	-0.588623894137772	NE2_KYSE510.T	KYSE510	-0.588623894137772
PLCG2	Tumor-loss LOCKs	common PMDs	0.0456518633233708	NE2_KYSE510.T	KYSE510	0.0456518633233708
MIR8058	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MIR3182	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
IRF8	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MIR6774	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02132	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01082	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01081	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02135	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC00917	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1G1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1A2	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1A1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1D4	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR3A2	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR3A1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR3A4P	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1R1P	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1E1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR3A3	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
OR1E2	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SPATA22	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
WSCD1	Shared LOCKs	common PMDs	-0.977345718082295	NE2_KYSE510.T	KYSE510	-0.977345718082295
CCDC42	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SPDYE4	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MFSD6L	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PIK3R6	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PIK3R5	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PIK3R5-DT	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
GAS7	Tumor-loss LOCKs	common PMDs	-0.687294799027774	NE2_KYSE510.T	KYSE510	-0.687294799027774
MYH13	Tumor-gain LOCKs	common PMDs	-0.998217596942836	NE2_KYSE510.T	KYSE510	-0.998217596942836
MYHAS	Tumor-gain LOCKs	common PMDs	-0.88596729379869	NE2_KYSE510.T	KYSE510	-0.88596729379869
MYH8	Tumor-gain LOCKs	common PMDs	-0.997866621996623	NE2_KYSE510.T	KYSE510	-0.997866621996623
MYH4	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
