GeneList	EID	GO:0045109: intermediate filament organization	GO:0045104: intermediate filament cytoskeleton organization	GO:0045103: intermediate filament-based process	GO:0003002: regionalization	GO:0099601: regulation of neurotransmitter receptor activity	GO:0043269: regulation of ion transport	GO:0048704: embryonic skeletal system morphogenesis	GO:0048706: embryonic skeletal system development	GO:0030855: epithelial cell differentiation	GO:0009952: anterior/posterior pattern specification	GO:0050911: detection of chemical stimulus involved in sensory perception of smell	GO:0007608: sensory perception of smell	GO:0009593: detection of chemical stimulus	GO:0007606: sensory perception of chemical stimulus	GO:0050907: detection of chemical stimulus involved in sensory perception	GO:0051606: detection of stimulus	GO:0050906: detection of stimulus involved in sensory perception	GO:0007156: homophilic cell adhesion via plasma membrane adhesion molecules	GO:0031424: keratinization	GO:0098742: cell-cell adhesion via plasma-membrane adhesion molecules	GO:0001708: cell fate specification	GO:0048665: neuron fate specification	GO:0045165: cell fate commitment	GO:0048663: neuron fate commitment	GO:0030900: forebrain development	GO:0045664: regulation of neuron differentiation	GO:0007420: brain development	GO:0050804: modulation of chemical synaptic transmission	GO:0099177: regulation of trans-synaptic signaling	GO:0043583: ear development
Long LOCK peaks in S-PMDs	E095	12	11	10	6.2	3.9	2.2	4.6	5.3	4	5	3.1	3.1	3.1	4.6	3.5	2.4	3.4	NA	3	NA	NA	NA	1.3	NA	NA	NA	NA	1.2	1.2	NA
Long LOCK peaks in S-PMDs	E107	13	11	11	7.2	5.3	3.4	6.9	6.8	7.5	4.6	NA	NA	NA	NA	NA	NA	NA	NA	4.2	NA	NA	NA	2.4	NA	NA	NA	1.5	3.3	3.2	NA
Long LOCK peaks in S-PMDs	E071	13	11	11	6.8	4.7	5.4	6	6.5	6.8	4.8	NA	NA	NA	1.2	NA	NA	NA	NA	3.7	NA	NA	NA	2.6	NA	NA	NA	1.4	2.7	2.6	NA
Long LOCK peaks in S-PMDs	E066	9.6	8	7.9	6.2	2.7	2.6	6.7	7.3	4.6	5.5	3	3.5	2.8	3.2	2.8	3.5	2.8	NA	2.6	NA	NA	NA	1.7	NA	NA	NA	1	NA	NA	NA
Long LOCK peaks in S-PMDs	E034	11	9.2	9.1	6	5.1	3.8	4.6	4.3	5.2	4.6	1.5	1.7	1.6	2.1	1.7	1.3	1.8	NA	2.6	NA	NA	NA	2.7	NA	NA	NA	NA	2	2	NA
Long LOCK peaks in S-PMDs	E101	11	9.4	9.3	4.8	5.2	6.3	4.1	4.5	5.2	3.4	1.1	1.3	1.5	2.1	1.6	1.3	1.5	NA	2.8	NA	NA	NA	2.3	NA	NA	NA	NA	2.1	2.1	NA
Long LOCK peaks in S-PMDs	E083	16	14	14	5.3	2.3	1.8	6	6.4	5.5	4	NA	NA	NA	NA	NA	NA	NA	NA	3.9	NA	NA	NA	NA	NA	NA	NA	NA	1.4	1.4	NA
Long LOCK peaks in S-PMDs	E078	13	11	11	6.1	3.9	3.4	5.4	5.3	6.9	3.8	NA	NA	NA	NA	NA	NA	NA	NA	3.7	NA	NA	NA	3.1	NA	NA	NA	NA	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E023	11	9.2	9.2	2.5	7.4	7.6	1.7	1.5	4.7	1.1	1.4	1.4	1.3	2.2	1.3	1.2	1.5	NA	3.7	NA	NA	NA	3.5	NA	NA	NA	NA	3.6	3.6	NA
Long LOCK peaks in S-PMDs	E009	11	8.9	8.8	4.5	4.7	5.7	4.4	3.5	4.8	3.7	1.6	1.8	1.4	2	1.4	1.3	1.6	NA	2.9	NA	NA	NA	2.9	NA	NA	NA	NA	1.7	1.6	NA
Long LOCK peaks in S-PMDs	E074	9.7	8.1	8	6.7	6.4	3.5	6	6.5	5.9	4.7	NA	1.2	NA	NA	NA	1.3	NA	NA	1.9	NA	NA	NA	2.9	NA	NA	NA	1.2	2.9	2.9	NA
Long LOCK peaks in S-PMDs	E089	14	12	12	5.8	5	3.5	4.9	5	4.9	3.8	NA	NA	NA	NA	NA	NA	NA	NA	3.3	NA	NA	NA	1.3	NA	NA	NA	NA	2.1	2.1	NA
Long LOCK peaks in S-PMDs	E073	13	11	11	5.7	4.2	4.7	5	5	6	3.7	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	3	NA	NA	NA	NA	1.3	1.3	NA
Long LOCK peaks in S-PMDs	E105	13	11	11	5.8	4	2.5	5.7	6.6	5.2	5.2	NA	NA	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	1.2	NA	NA	NA	NA	2	2	NA
Long LOCK peaks in S-PMDs	E010	11	9.4	9.3	4.4	4.2	4.1	4	3.9	4.6	3.5	1.7	2	1.5	1.8	1.4	1.5	1.5	NA	2.6	NA	NA	NA	2.4	NA	NA	NA	NA	1.6	1.6	NA
Long LOCK peaks in S-PMDs	E072	12	11	10	7.5	3.8	3.2	5.5	5.5	6.7	5.4	NA	NA	NA	NA	NA	NA	NA	NA	3.6	NA	NA	NA	3.4	NA	NA	NA	NA	NA	NA	NA
Long LOCK peaks in S-PMDs	E080	12	9.9	9.9	5.1	4.1	5.1	4.5	4.4	5	3.4	NA	1.2	NA	1.4	NA	NA	1	NA	3.1	NA	NA	NA	2.3	NA	NA	NA	NA	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E111	13	11	11	5.5	5.3	3.7	4.4	4.5	5.9	3.5	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	2	NA	NA	NA	NA	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E102	11	9.6	9.6	5.8	5.5	5.8	3.7	4.2	6.2	3.7	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	2.9	NA	NA	NA	1.2	2.4	2.4	NA
Long LOCK peaks in S-PMDs	E032	9.3	7.4	7.3	5	5.5	4.9	4.2	3.9	4.5	4	1.4	1.4	1.7	2.3	1.6	2.3	1.6	NA	1.9	NA	NA	NA	1.5	NA	NA	NA	NA	2.6	2.6	NA
Long LOCK peaks in S-PMDs	E091	9.3	7.9	7.8	7.1	4.9	4	5.8	5.9	4.9	4	NA	NA	NA	NA	NA	NA	NA	NA	3.8	NA	NA	NA	1.7	NA	NA	NA	1.2	4	4	NA
Long LOCK peaks in S-PMDs	E044	9.2	7.3	7.2	4.9	5.4	6.2	4.7	4.2	5	3.4	NA	1.1	1.4	1.9	1.3	2	1.5	NA	1.8	NA	NA	NA	2	NA	NA	NA	1.3	2.2	2.2	NA
Long LOCK peaks in S-PMDs	E036	12	9.9	9.8	5.4	5.3	2.7	3.5	4.1	7.1	4.3	NA	NA	NA	NA	NA	NA	NA	NA	3.3	NA	NA	NA	2.2	NA	NA	NA	NA	3	3	NA
Long LOCK peaks in S-PMDs	E096	9.6	8	7.9	5.7	6	6	5	5.7	5.6	4.9	NA	NA	NA	1.2	NA	NA	NA	NA	3.3	NA	NA	NA	1.8	NA	NA	NA	NA	2.3	2.3	NA
Long LOCK peaks in S-PMDs	E109	9.1	7.3	7.2	4.9	5.9	5.3	3.9	4.2	4.7	3.6	1.3	1.5	1.3	2	1.3	1.3	1.4	NA	1.7	NA	NA	NA	2.4	NA	NA	NA	1	2	2	NA
Long LOCK peaks in S-PMDs	E063	15	12	12	3.9	4.3	5.2	2.4	3.2	4.6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	3.4	NA	NA	NA	1.9	NA	NA	NA	NA	2.8	2.8	NA
Long LOCK peaks in S-PMDs	E106	9.7	7.9	7.8	4.5	5.7	4.8	4.3	4.5	3.9	3.3	1	1.2	1.1	2	1.2	1.3	1.3	NA	2	NA	NA	NA	2.5	NA	NA	NA	1	2	2	NA
Long LOCK peaks in S-PMDs	E090	14	12	12	3.6	4.9	5	1.8	2	4.9	1.9	NA	NA	NA	NA	NA	NA	NA	NA	3.2	NA	NA	NA	2.5	NA	NA	NA	NA	3.2	3.2	NA
Long LOCK peaks in S-PMDs	E030	10	8.1	8.1	4.9	5.8	5	4.5	4.8	5.5	4	NA	1	NA	1.7	NA	1	NA	NA	2.1	NA	NA	NA	2.4	NA	NA	NA	NA	2.6	2.6	NA
Long LOCK peaks in S-PMDs	E062	7.1	5.6	5.6	5.1	4.4	4.6	4.6	4.9	4.2	4.2	1.4	1.6	1.8	3	1.8	1.7	1.9	NA	1.3	NA	NA	NA	3.7	NA	NA	NA	1.4	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E061	11	8.7	8.6	2.2	6.5	6.3	2.6	2.2	4	1.5	1.1	1.3	1.3	1.9	1.4	1.4	1.3	NA	3	NA	NA	NA	2.9	NA	NA	NA	NA	1.8	1.8	NA
Long LOCK peaks in S-PMDs	E069	11	9.5	9.4	5.8	3	3.7	5.4	5.5	5.4	4.8	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	2.5	NA	NA	NA	NA	1.8	1.8	NA
Long LOCK peaks in S-PMDs	E084	12	9.9	9.8	5.4	4.7	6	3.7	4.2	5.1	3.2	NA	NA	NA	NA	NA	NA	NA	NA	2.9	NA	NA	NA	2.2	NA	NA	NA	NA	1.6	1.6	NA
Long LOCK peaks in S-PMDs	E113	5.2	4.1	4.1	8.4	4.8	4.8	7.1	7.6	4.4	6.8	NA	NA	NA	1.1	NA	NA	NA	NA	1.5	NA	NA	NA	4	NA	1.5	NA	1.8	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E108	9.3	7.8	7.7	6.8	5.1	3.1	5.8	5.7	6	4.3	NA	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA	NA	2.6	NA	NA	NA	NA	2.6	2.6	NA
Long LOCK peaks in S-PMDs	E124	13	10	10	3.5	4.1	4.8	2.7	2.3	7.1	1.9	NA	NA	NA	1.4	NA	NA	NA	NA	3.1	NA	NA	NA	2.4	NA	NA	NA	1.1	2.4	2.3	NA
Long LOCK peaks in S-PMDs	E100	10	8.3	8.3	5.6	5.1	2.7	5.5	5.3	6	4.1	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	2.5	NA	NA	NA	NA	3	3	NA
Long LOCK peaks in S-PMDs	E110	11	8.8	8.7	5.5	6.5	6.1	3.2	3.7	4.9	3.4	NA	NA	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	2.4	NA	NA	NA	NA	2.3	2.3	NA
Long LOCK peaks in S-PMDs	E042	8.9	7.1	7	4	5	5.9	4.5	4.2	4.2	3.1	NA	1.1	1.2	2.1	1.3	1.6	1.4	NA	2.6	NA	NA	NA	1.5	NA	NA	NA	NA	2.3	2.3	NA
Long LOCK peaks in S-PMDs	E092	11	9.2	9.2	5	6	3.7	3.7	3.2	5	3.1	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	1.8	NA	NA	NA	NA	3.3	3.3	NA
Long LOCK peaks in S-PMDs	E045	5.3	4.2	4.2	5.8	4.3	4.3	4.6	4.9	4.1	4.5	1.6	1.8	2.2	2.9	2	2.5	2.1	NA	1.7	NA	NA	NA	2.5	NA	NA	NA	1.1	1.8	1.8	NA
Long LOCK peaks in S-PMDs	E077	12	9.5	9.5	4.1	6.2	6.6	3.5	3.4	4	2.6	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	1.2	NA	NA	NA	NA	2.4	2.4	NA
Long LOCK peaks in S-PMDs	E088	7.9	6.5	6.4	6.6	3.9	4.5	5.4	5.3	4.5	4.9	NA	NA	NA	1.5	NA	1.2	1.3	NA	2.4	NA	NA	NA	2.6	NA	NA	NA	NA	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E013	11	9.1	9	5.9	5.9	4.2	2.8	3.2	3.9	4.1	NA	NA	NA	1	NA	NA	NA	NA	2.6	NA	NA	NA	2.8	NA	NA	NA	NA	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E075	11	9.1	9.1	5.4	5.8	3.7	3.9	3.8	4.6	3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1.7	NA	NA	NA	NA	2.4	2.4	NA
Long LOCK peaks in S-PMDs	E067	11	9.6	9.5	5.8	2.1	2.3	4.8	5.5	6.7	4.5	NA	NA	NA	1.6	NA	NA	NA	NA	2.6	NA	NA	NA	2.8	NA	NA	NA	NA	NA	NA	NA
Long LOCK peaks in S-PMDs	E087	3	2.5	2.4	9.3	3.3	1.7	7.8	7.7	2.7	7.5	1.2	1.5	2	2.7	1.7	2	1.5	NA	3.2	NA	NA	NA	3.4	NA	NA	NA	1.2	NA	NA	NA
Long LOCK peaks in S-PMDs	E126	9.4	8.2	8.2	3.5	4.5	4.9	2.1	1.6	6.4	1.3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	4.5	1.2	1.6	NA	1.6	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E085	10	8.2	8.2	3.9	5.3	7	3.5	3.9	3.7	2.6	NA	NA	NA	NA	NA	1.3	1.1	NA	2.3	NA	NA	NA	1.4	NA	NA	NA	NA	1.8	1.8	NA
Long LOCK peaks in S-PMDs	E055	8.1	6.8	6.8	5	5.7	5.8	3.4	3.7	4.9	3.3	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	2.3	NA	NA	NA	1.1	3.1	3.1	NA
Long LOCK peaks in S-PMDs	E046	7.3	5.9	5.8	4.8	3.8	5.1	4.8	4.5	4.8	4.3	NA	NA	1.3	1.9	1.2	1.9	1.3	NA	NA	NA	NA	NA	2.6	NA	NA	NA	NA	2.3	2.3	NA
Long LOCK peaks in S-PMDs	E128	11	9.3	9.3	2.9	5.1	6.2	2	2.1	4.4	1.9	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	2	NA	NA	NA	NA	2.8	2.8	NA
Long LOCK peaks in S-PMDs	E116	2.4	2	2	8.6	3.4	4.1	4.8	6.1	4.8	5.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4	NA	3.6	NA	4.1	3.3	3.3	NA
Long LOCK peaks in S-PMDs	E056	9.4	7.9	7.9	4.5	4.9	3.9	4.6	3.8	3.3	2.4	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	2.2	NA	NA	NA	1.3	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E035	11	9.5	9.4	1.9	2.6	2.5	4.1	3.1	5.9	1.8	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	1.9	1.2	NA	NA	1.7	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E103	10	8.5	8.5	4	3.8	2.1	3	3	4.7	2.4	NA	1	NA	1.4	NA	NA	1	NA	2.9	NA	NA	NA	2.5	NA	NA	NA	NA	2.1	2.1	NA
Long LOCK peaks in S-PMDs	E068	5.7	4.8	4.7	7.6	2.1	3.3	7.1	8	5	7.1	NA	NA	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	3.7	NA	NA	NA	1.4	NA	NA	NA
Long LOCK peaks in S-PMDs	E082	10	8.9	8.8	5.8	4.1	2.7	4.2	4.5	3.7	4.6	NA	NA	NA	NA	NA	NA	NA	NA	3.9	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA
Long LOCK peaks in S-PMDs	E043	NA	NA	NA	5.8	3.3	4.4	5.9	6.2	1.8	4.7	2.2	2.5	3	4	2.8	3.5	2.9	NA	NA	NA	NA	NA	2.9	NA	NA	NA	1.4	2.3	2.3	NA
Long LOCK peaks in S-PMDs	E025	9.2	7.7	7.6	2.8	6.8	6.5	1.9	1.7	4.1	1.3	NA	NA	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	3.4	NA	NA	NA	NA	3.2	3.2	NA
Long LOCK peaks in S-PMDs	E112	NA	NA	NA	9.1	7.7	4.9	6.7	6.1	2.5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	NA	1.4	NA	3.3	4.6	4.6	NA
Long LOCK peaks in S-PMDs	E125	4.9	4	4	6.6	7.1	7.6	5.8	5.7	2.3	5.2	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	2.6	NA	NA	NA	NA	1.6	1.6	NA
Long LOCK peaks in S-PMDs	E048	3.2	2.6	2.5	7	4.3	4.2	6.5	6.3	5.7	4.8	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	3.4	NA	1.2	NA	1.7	2.9	2.9	NA
Long LOCK peaks in S-PMDs	E005	6.2	5.1	5	5.8	6.7	3.9	4.1	4	4	3.8	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA	3.4	NA	NA	NA	1.3	2.4	2.4	NA
Long LOCK peaks in S-PMDs	E028	7.7	6.2	6.2	4.2	6.5	6.1	3.8	2.6	3.8	2.5	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	2.6	NA	NA	NA	NA	3.1	3	NA
Long LOCK peaks in S-PMDs	E039	1.9	1.5	1.4	6.7	4.9	4.8	5.3	5.7	2.4	5.5	1.6	1.9	1.3	2.1	1.3	1.5	1.4	NA	NA	NA	NA	NA	2.3	NA	NA	NA	1.2	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E040	2.5	2	1.9	4.7	4.2	4.7	4.6	4.5	2.8	4	1.5	1.5	2.2	2.4	2	2.7	2.1	NA	NA	NA	NA	NA	2.4	NA	NA	NA	1.2	2.9	2.9	NA
Long LOCK peaks in S-PMDs	E004	3.8	3.1	3	6	6.7	5.8	5.4	5.8	2.7	5.2	NA	NA	NA	NA	NA	NA	NA	NA	1.3	NA	NA	NA	3.4	NA	NA	NA	1.1	2.7	2.6	NA
Long LOCK peaks in S-PMDs	E011	8.6	7	6.9	2.4	7.1	4.8	2.6	2.3	4.1	1.4	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	2.6	NA	NA	NA	1.9	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E038	1.6	1.2	1.2	4.5	3.6	4.7	5.5	5.9	2.6	4.7	1.5	1.5	2.5	2.5	2.1	2.6	2.2	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	2.4	2.4	NA
Long LOCK peaks in S-PMDs	E054	5.1	4.2	4.2	8.8	3.8	3.9	4.7	5.5	2.9	6.1	NA	NA	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	2.6	NA	NA	NA	NA	1.6	1.6	NA
Long LOCK peaks in S-PMDs	E047	2.7	2	2	4.3	2.4	3.1	4.6	5	2.7	3.7	2.1	2.1	2.8	3	2.6	2.9	2.7	NA	NA	NA	NA	NA	2.9	NA	NA	NA	NA	1.5	1.5	NA
Long LOCK peaks in S-PMDs	E059	11	9.2	9.1	1.9	3.3	4.3	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	4.1	NA	NA	NA	NA	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E070	10	8.5	8.5	3.2	5	3.4	1.9	2.1	4.4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	3.3	NA	NA	NA	NA	NA	NA	NA	NA	1.9	1.9	NA
Long LOCK peaks in S-PMDs	E093	4.4	3.6	3.5	5	5.6	3.4	4.6	4	4.7	3	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	3.6	NA	NA	NA	1.8	3.3	3.3	NA
Long LOCK peaks in S-PMDs	E051	6.2	5.2	5.1	4.7	4	3.9	4.1	5.1	5.2	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	NA	2	2	NA
Long LOCK peaks in S-PMDs	E076	6.8	5.6	5.6	4.8	3	3.4	3.3	3.5	4.2	2.3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1.8	NA	NA	NA	NA	3.5	3.5	NA
Long LOCK peaks in S-PMDs	E065	5.8	4.7	4.6	2.6	3.1	2.5	3.1	3.2	1.7	1.6	1.7	1.5	2.3	2.6	2.3	2.7	2	NA	1.4	NA	NA	NA	1.2	NA	NA	NA	NA	1.8	1.8	NA
Long LOCK peaks in S-PMDs	E041	1.5	1.1	1.1	3.9	4.2	5.5	3.8	3.6	1.4	3	2.1	2.3	2.2	3.3	2.4	3.4	2.4	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2.5	2.4	NA
Long LOCK peaks in S-PMDs	E050	1.7	1.3	1.3	5.9	6.8	3	5	5.2	3	4.7	NA	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	NA	5	NA	1.2	NA	1.8	3.2	3.2	NA
Long LOCK peaks in S-PMDs	E079	4.1	3.2	3.2	4.6	7.1	6.2	3.6	4	2.6	3.1	NA	NA	NA	1.2	NA	NA	NA	NA	1.5	NA	NA	NA	3.1	NA	NA	NA	NA	2.5	2.5	NA
Long LOCK peaks in S-PMDs	E120	8.1	6.6	6.6	1.7	7.8	6.5	1.1	NA	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA	1.9	NA	NA	NA	NA	3.5	3.4	NA
Long LOCK peaks in S-PMDs	E029	4.9	4	3.9	5.5	4.5	4.8	3.7	3.7	4.2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	1.3	2.2	2.2	NA
Long LOCK peaks in S-PMDs	E099	2.7	2.2	2.2	5.5	4.6	6.1	4.1	3.8	2.6	2.7	NA	NA	NA	NA	NA	NA	NA	NA	2.3	NA	NA	NA	3.1	NA	1.4	NA	1.7	2.9	2.9	NA
Long LOCK peaks in S-PMDs	E121	11	9.3	9.2	1.5	4.3	3.3	NA	NA	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA	NA	2.5	NA	NA	NA	NA	1.5	1.5	NA
Long LOCK peaks in S-PMDs	E081	5.7	4.8	4.7	6.3	4.3	2.5	5.3	5.5	2.4	4.5	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Long LOCK peaks in S-PMDs	E033	1.4	NA	NA	4.6	6.6	5.5	4.8	3.7	3.8	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	2.2	4.4	4.4	NA
Long LOCK peaks in S-PMDs	E017	7.7	6.2	6.2	3.2	3.4	5.7	1.8	1.9	2.9	1.9	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	2.1	NA	NA	NA	NA	1.4	1.4	NA
Long LOCK peaks in S-PMDs	E053	5	4.1	4.1	4.9	3.8	3.4	3.9	4.1	2.8	4.3	NA	NA	NA	NA	NA	NA	NA	NA	2.4	NA	NA	NA	1.6	NA	NA	NA	NA	1.8	1.8	NA
Long LOCK peaks in S-PMDs	E127	3.5	2.8	2.7	3.9	5.4	6.3	5	4.1	2.2	2.8	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	2.9	NA	NA	NA	1.1	1.8	1.7	NA
Long LOCK peaks in S-PMDs	E058	4.9	3.9	3.8	3.1	5.4	6.6	3.1	2.5	2.9	1.4	NA	NA	NA	1.3	NA	NA	NA	NA	1.5	NA	NA	NA	2.4	NA	NA	NA	NA	2.2	2.2	NA
Long LOCK peaks in S-PMDs	E122	9.1	7.4	7.4	2.3	5	4	NA	NA	3.1	1.4	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA	2.2	NA	NA	NA	NA	1.5	1.5	NA
Long LOCK peaks in S-PMDs	E037	1.3	NA	NA	5.3	4	3.8	4.6	4.5	2	2.8	NA	NA	NA	1.4	NA	1.6	1.2	NA	NA	NA	NA	NA	2.6	NA	1.2	NA	1.8	4.2	4.1	NA
Long LOCK peaks in S-PMDs	E052	8	6.6	6.6	1.6	4.2	4.5	1.8	1.2	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	2.1	NA	NA	NA	NA	1.9	1.8	NA
Long LOCK peaks in S-PMDs	E007	NA	NA	NA	5.9	4.8	5.3	5.9	6.4	1.1	5.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1	NA	NA	NA	NA	2.5	2.5	NA
