gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
SHLD2P3	Tumor-loss LOCKs	common PMDs	-0.832273370783719	NE2_KYSE450.T	KYSE450	-0.832273370783719
NPY4R2	Tumor-loss LOCKs	common PMDs	-0.779130458686403	NE2_KYSE450.T	KYSE450	-0.779130458686403
FAM25C	Tumor-loss LOCKs	common PMDs	0.140265655834178	NE2_KYSE450.T	KYSE450	0.140265655834178
AGAP12P	Tumor-loss LOCKs	common PMDs	0.110572592647057	NE2_KYSE450.T	KYSE450	0.110572592647057
WDFY4	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LRRC18	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR4294	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
VSTM4	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
FAM170B-AS1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
FAM170B	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
TMEM273	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C10orf71-AS1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C10orf71	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
ASAH2B	Tumor-loss LOCKs	common PMDs	0.285645396366374	NE2_KYSE450.T	KYSE450	0.285645396366374
A1CF	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR605	Tumor-loss LOCKs	common PMDs	-0.419051768890212	NE2_KYSE450.T	KYSE450	-0.419051768890212
PHYHIPL	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
FAM13C	Tumor-loss LOCKs	common PMDs	-0.792577471282077	NE2_KYSE450.T	KYSE450	-0.792577471282077
COL13A1	Shared LOCKs	common PMDs	-0.957438632002107	NE2_KYSE450.T	KYSE450	-0.957438632002107
LINC00856	Tumor-loss LOCKs	common PMDs	-0.988407147039663	NE2_KYSE450.T	KYSE450	-0.988407147039663
EIF5AL1	Tumor-loss LOCKs	common PMDs	-0.334140190442414	NE2_KYSE450.T	KYSE450	-0.334140190442414
SFTPA2	Tumor-loss LOCKs	common PMDs	-0.980281393987241	NE2_KYSE450.T	KYSE450	-0.980281393987241
SFTPA1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02679	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
BEND3P3	Tumor-loss LOCKs	common PMDs	-0.61471079396213	NE2_KYSE450.T	KYSE450	-0.61471079396213
BMS1P21	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MBL1P	Tumor-loss LOCKs	common PMDs	-0.628088426559348	NE2_KYSE450.T	KYSE450	-0.628088426559348
SFTPD	Tumor-loss LOCKs	common PMDs	-0.0803611718217757	NE2_KYSE450.T	KYSE450	-0.0803611718217757
CRTAC1	Shared LOCKs	common PMDs	-0.888650927730303	NE2_KYSE450.T	KYSE450	-0.888650927730303
CNNM1	Tumor-loss LOCKs	common PMDs	0.187964989546823	NE2_KYSE450.T	KYSE450	0.187964989546823
PAX2	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02620	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
SORCS3-AS1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
ATRNL1	Tumor-loss LOCKs	common PMDs	-0.277253665161056	NE2_KYSE450.T	KYSE450	-0.277253665161056
GFRA1	Tumor-loss LOCKs	common PMDs	-0.867053031754411	NE2_KYSE450.T	KYSE450	-0.867053031754411
CCDC172	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PNLIPRP3	Tumor-loss LOCKs	common PMDs	-0.662939061976421	NE2_KYSE450.T	KYSE450	-0.662939061976421
PNLIP	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
EMX2OS	Tumor-loss LOCKs	common PMDs	-0.942595378014446	NE2_KYSE450.T	KYSE450	-0.942595378014446
EMX2	Tumor-loss LOCKs	common PMDs	-0.407707181763365	NE2_KYSE450.T	KYSE450	-0.407707181763365
LINC02674	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CASC2	Tumor-loss LOCKs	common PMDs	-0.456821630863753	NE2_KYSE450.T	KYSE450	-0.456821630863753
